SiteID,StreamName,ProgID,Landmark,Type,Tags,SegID,ADBCode,ADBSegName,EcoRegionDesig,County,MajorBasin,DrainageArea,ThermalClass,HUC12,UTMNorth,UTMEast,LatDD,LonDD,IsRiffle,IsPublicLand,CurrentStatus
822,Unnamed Tributary to North Creek,,Cincinnati,Headwater,Headwater Reference Study,6474,IA 05-CHA-0115_0,Unnamed Tributary to North Creek,40a,Appanoose,Missouri,1.744,Warm Water,huc102802010302,4497071,504357,40.62445,-92.94848,N/A,False,Candidate Reference Site
823,Old Mans Creek,,Ladora,Headwater,Headwater Reference Study,6475,IA 02-IOW-0154_0,Old Mans Creek,47f,Iowa,Mississippi,7.95,Warm Water,huc070802090201,4615379,569659,41.68713,-92.16297,N/A,False,Candidate Reference Site
824,South Branch Salt Creek,,Clutier,Headwater,Headwater Reference Study,6476,IA 02-IOW-0193_0,South Branch Salt Creek,47f,Tama,Mississippi,15.095,Warm Water,huc070802080501,4656551,542183,42.05988,-92.49017,N/A,False,Candidate Reference Site
825,Unnamed Tributary to Little Sioux River,,Correctionville,Headwater,Headwater Reference Study,6477,IA 06-LSR-0026_0,Unnamed Tributary to Little Sioux River,47e,Woodbury,Missouri,2.98,Warm Water,huc102300031503,4702937,266006,42.44345,-95.84514,N/A,False,Candidate Reference Site
826,Wolf Creek,,Correctionville,Headwater,Headwater Reference Study,6478,IA 06-LSR-0141_0,Wolf Creek,47e,Woodbury,Missouri,7.95,Warm Water,huc102300040302,4708861,257057,42.49398,-95.95632,N/A,False,Candidate Reference Site
827,Unnamed Tributary to Unnamed Tribuary to Maple Creek,Maple2,Aurelia,Headwater,Headwater Reference Study,6481,IA 06-LSR-0455_0,Unnamed Tributary to Unnamed Tributary to Maple Creek,47a,Buena Vista,Missouri,2.831,Warm Water,huc102300050101,4733115,307287,42.72636,-95.35386,N/A,False,Candidate Reference Site
828,Maple Creek,Maple3,Linn Grove,Headwater,Headwater Reference Study,6479,IA 06-LSR-0116_0,Maple Creek,47a,Buena Vista,Missouri,2.762,Warm Water,huc102300050101,4742494,308017,42.81093,-95.34814,N/A,False,Candidate Reference Site
829,Ten Mile Creek,,Ridgeway,Wadeable,2011 Nutrient (CW),274,IA 01-UIA-0340_0,Ten Mile Creek,52b,Winneshiek,Mississippi,13.441,Cold Water,huc070600020207,4796575,586952,43.31698,-91.92768,N/A,False,Survey Site
830,Unnamed Tributary to (Big) Mill Creek,,La Motte,Wadeable,2011 Nutrient (CW),119,IA 01-TRK-0070_0,Unnamed Creek,52b,Jackson,Mississippi,1.134,Cold Water,huc070600050403,4684806,701139,42.28953,-90.56028,N/A,False,Survey Site
831,Silver Creek,,Burr Oak,Wadeable,2011 Nutrient (CW),276,IA 01-UIA-0360_1,Silver Creek,52b,Winneshiek,Mississippi,4.846,Cold Water,huc070600020208,4811071,590548,43.44706,-91.88095,N/A,False,Survey Site
832,Cox Creek (aka Alderson Hollow),,Strawberry Point,Wadeable,2011 Nutrient (CW),304,IA 01-VOL-0070_2,Cox Creek (aka Alderson Hollow),52b,Clayton,Mississippi,3.568,Cold Water,huc070600040605,4729077,622797,42.70437,-91.50062,N/A,False,Survey Site
833,Suttle Creek,,Monona,Wadeable,2011 Nutrient (CW),439,IA 01-YEL-0100_0,Suttle Creek,52b,Allamakee,Mississippi,6.001,Cold Water,huc070600010905,4772774,633515,43.09593,-91.3594,N/A,False,Survey Site
834,Beaver Creek,,Jenkins Twnshp. (W. of Riceville),Wadeable,2011 Nutrient (CW),582,IA 02-CED-0500_0,Beaver Creek,47c,Mitchell,Mississippi,9.905,Cold Water,huc070802010802,4800529,527696,43.3571,-92.65822,Yes,False,Survey Site
835,Canoe Creek,,Canoe Twnshp. (N. of Decorah),Wadeable,2011 Nutrient (CW),261,IA 01-UIA-0240_2,Canoe Creek,52b,Winneshiek,Mississippi,16.388,Cold Water,huc070600020302,4804538,598836,43.3872,-91.77972,N/A,False,Survey Site
836,Cloie Branch,,Durango,Wadeable,2011 Nutrient (CW),134,IA 01-TRK-0160_1,Cloie Branch,52b,Dubuque,Mississippi,5.557,Cold Water,huc070600030604,4713535,684284,42.55223,-90.75535,N/A,False,Survey Site
837,Yellow River,,Postville (Upstr. of Hwy. 51),Wadeable,2011 Nutrient (CW),436,IA 01-YEL-0080_2,Yellow River,52b,Allamakee,Mississippi,41.312,Cold Water,huc070600010903,4777178,615335,43.13856,-91.58181,N/A,False,Survey Site
838,Buck Creek,,Garnavillo (S.E. near Ceres),Wadeable,2011 Nutrient (CW),428,IA 01-YEL-0020_1,Buck Creek,52b,Clayton,Mississippi,24.344,Cold Water,huc070600030703,4744911,649713,42.84212,-91.16792,N/A,False,Survey Site
839,Iowa River,,Gifford,Non-wadeable,2011 Nutrient (WW),646,IA 02-IOW-0070_3,Iowa River,47f,Hardin,Mississippi,774.706,Warm Water,huc070802070902,4684222,493762,42.3102,-93.07569,N/A,False,Survey Site
