MONIT_STATION_SEQ_NO,DTRSQQ_CODE,COUNTY_CODE,COUNTY_NAME,WBIC,OFFICIAL_WATERBODY_NAME,REGION_CODE,WSHED_CODE,GMU_CODE,WMU_CODE,HUC_CODE,ECO_REGION_CODE,STREAM_ORDER_NO,NATURAL_COMMUNITY,TEMPERATURE_CLASS,HYDRO_ID,CALC_LL_LAT_DD_AMT,CALC_LL_LONG_DD_AMT
6124,428060631,37,Marathon,1451800,Big Rib River,WC,CW23,CW,CW,07070002,51,NA,WARM MAINSTEM,WARM,600090946,44.934744,-89.8403319
153358,NA,18,Eau Claire,2130600,Bridge Creek,WC,LC14,LC,LC,07050006,51,4,COOL-WARM HEADWATER,Cool-Warm,200118175,44.66611,-91.07976
100786,228072122,9,Chippewa,2153300,South Fork Paint Creek,WC,LC19,LC,LC,07050005,51,"2, 2",COOL-COLD HEADWATER,Cool-Cold,200133594,44.900383,-91.246315
151579,NA,9,Chippewa,2181100,French Creek,WC,LC21,LC,LC,07050005,50,2,COOL-COLD HEADWATER,Cool-Cold,200149057,45.148716,-91.16029
17815227,NA,72,Wood,1367300,Unnamed,WC,CW04,CW,CW,07070003,51,2,COOL-WARM HEADWATER,Cool-Warm,200103813,44.466118,-90.06414
153762,431152212,43,Oconto,480900,South Branch Oconto River,NE,GB06,UG,GB,04030104,50,"3, 3",COOL-COLD MAINSTEM,Cool-Cold,200149761,45.15971,-88.60845
17816099,NA,13,Dane,1248900,Wendt Creek,SC,LW17,LW,LW,07070005,52,3,COLDWATER,Cold,200029516,43.175888,-89.77782
17816230,NA,23,Green,895000,Jordan Creek,SC,SP02,GP,SP,07090003,52,3,COLDWATER,Cold,200004968,42.62871,-89.782524
153779,NA,26,Iron,3000519,Unnamed,NO,LS11,LS,LS,04010302,50,2,COLDWATER,Cold,200200381,46.446087,-90.42388
17815651,NA,8,Calumet,81500,Stony Brook,NE,MA05,LK,MA,04030101,53,1,COOL-WARM HEADWATER,Cool-Warm,200070842,44.04853,-88.2312
101278,228181544,56,Saint Croix,2601800,Kinnickinnic River,WC,SC01,SC,SC,07030005,47,"5, 5",COOL-WARM MAINSTEM,Cool-Warm,200135277,44.909576,-92.54253
6487,429022621,37,Marathon,1432300,East Branch Big Eau Pleine River,WC,CW18,CW,CW,07070002,51,3,COOL-COLD HEADWATER,Cool,"200137307, 600034246, 600078329",44.9744403,-90.230993
153763,NA,43,Oconto,480900,South Branch Oconto River,NE,GB06,UG,GB,04030104,50,4,COOL-WARM MAINSTEM,Cool-Warm,200147401,45.128506,-88.59463
4066,205042434,22,Grant,963400,Martin Br,SC,GP06,GP,GP,07060003,52,4,COOL-COLD MAINSTEM,Cool-Cold,200017407,42.8890478,-90.7963404
153759,NA,34,Langlade,493700,Dalton Creek,NO,GB06,HW,GB,04030104,50,2,COOL-COLD MAINSTEM,Cool-Cold,200151757,45.1867,-88.68836
4193,205041411,22,Grant,963400,Martin Br,SC,GP06,GP,GP,07060003,52,3,COOL-COLD HEADWATER,Cool-Cold,200018954,42.9137864,-90.8043439
153636,423032143,72,Wood,1352800,Yellow River,WC,CW05,CW,CW,07070003,51,"5, 5",WARM MAINSTEM,Warm,200212492,44.45391,-90.15023
153647,NA,27,Jackson,1829300,Unnamed,WC,BT08,BT,BT,07040003,52,1,COLDWATER,Cold,200109141,44.53493,-91.05213
17815904,NA,9,Chippewa,2086300,Spring Brook,WC,LC07,LC,LC,07050007,51,2,COOL-COLD HEADWATER,Cool-Cold,200150800,45.172886,-91.616905
13996,425022724,72,Wood,1372600,South Branch Yellow River,WC,CW05,CW,CW,07070003,51,4,COOL-COLD HEADWATER,Cool-Cold,200114638,44.622597,-90.25015
17816076,NA,43,Oconto,460500,Macauley Creek,NE,GB05,UG,GB,04030104,50,1,COOL-COLD HEADWATER,Cool-Cold,200154485,45.23378,-88.432755
151758,NA,13,Dane,1248900,Wendt Creek,SC,LW17,LW,LW,07070005,52,3,COLDWATER,Cold,200028974,43.162746,-89.69974
153754,NA,26,Iron,2925000,Rouse Creek,NO,LS13,LS,LS,04010302,50,2,COLDWATER,Cold,200198559,46.36731,-90.47756
100221,NA,68,Waukesha,769800,Genesee Creek,SE,FX04,IF,FX,07120006,53,3,COOL-COLD HEADWATER,Cool-Cold,200021131,42.96469,-88.36368
51224,228172422,56,Saint Croix,2440300,Rush River,WC,LC22,LC,LC,07040001,47,NA,COOL-COLD MAINSTEM,Cool-Cold,200134654,44.9022929,-92.3944097
101758,408061233,13,Dane,1248800,Halfway Prairie Creek,SC,LW17,LW,LW,07070005,52,"3, 3",COLDWATER,Cold,200029742,43.178635,-89.73902
6195,428021933,10,Clark,1430700,Dill Creek,WC,CW18,CW,CW,07070002,51,3,COOL-WARM HEADWATER,Cool-Warm,200132080,44.8889518,-90.3149358
151762,NA,23,Green,892300,Honey Creek,SC,SP01,GP,SP,07090003,53,4,COOL-COLD MAINSTEM,Cool,"600081127, 200000735",42.51418,-89.76743
153079,NA,8,Calumet,80100,Unnamed,NE,MA05,LK,MA,04030101,53,2,COOL-WARM HEADWATER,Cool-Warm,200067376,43.977535,-88.11271
17815188,NA,16,Douglas,2699500,Ounce River,NO,SC20,SC,SC,07030002,50,3,COOL-COLD MAINSTEM,Cool-Cold,200195022,46.23196,-91.554955
151763,NA,23,Green,892300,Honey Creek,SC,SP01,GP,SP,07090003,53,3,COOL-COLD HEADWATER,Cool-Cold,200001997,42.545834,-89.70524
151584,NA,13,Dane,1248600,Black Earth Creek,SC,LW17,LW,LW,07070005,52,4,COOL-COLD MAINSTEM,Cool-Cold,200028996,43.155766,-89.776375
150904,NA,22,Grant,955100,Martinville Creek,SC,GP02,GP,GP,07060003,52,2,COOL-COLD HEADWATER,Cool-Cold,200018350,42.912495,-90.47024
50292,407060223,13,Dane,1249200,Vermont Creek,SC,LW17,LW,LW,07070005,52,NA,COOL-COLD MAINSTEM,Cool-Cold,200026869,43.1118777,-89.7563579
13918,424042622,72,Wood,1366300,Hemlock Creek,WC,CW04,CW,CW,07070003,51,2,COOL-WARM HEADWATER,Cool-Warm,200109346,44.5389166,-90.0043891
9450499,NA,22,Grant,955100,Martinville Creek,SC,GP02,GP,GP,07060003,52,3,COOL-COLD HEADWATER,Cool-Cold,200018781,42.917774,-90.49348
102523,228032743,10,Clark,2137000,South Fork Eau Claire River,WC,LC16,LC,LC,07050006,51,4,COOL-COLD MAINSTEM,Cool,"600036775, 200131130",44.872173,-90.72799
17817679,NA,68,Waukesha,769800,Genesee Creek,SE,FX04,IF,FX,07120006,53,3,COOL-COLD HEADWATER,Cool-Cold,200020870,42.95647,-88.35591
11379,219083323,62,Trempealeau,1677500,Beaver Creek,WC,BR02,BT,BR,07040007,52,5,COOL-WARM MAINSTEM,Cool,"600091832, 200072584",44.0799437,-91.3515188
4196,205011414,22,Grant,955100,Martinville Creek,SC,GP02,GP,GP,07060003,52,2,COOL-COLD HEADWATER,Cool-Cold,200018104,42.907517,-90.4523801
8858,227151122,48,Pierce,2058000,Cady Creek,WC,LC03,LC,LC,07050005,47,3,COLDWATER,Cold,200130719,44.8412326,-92.1761821
50386,408062632,13,Dane,1249200,Vermont Creek,SC,LW17,LW,LW,07070005,52,NA,COOL-COLD MAINSTEM,Cool,NA,43.1399052,-89.7557893
102531,227051323,18,Eau Claire,2145400,North Fork Eau Claire River,WC,LC17,LC,LC,07050006,51,"4, 4",COOL-COLD MAINSTEM,Cool-Cold,200128408,44.824047,-90.94138
1952,231060922,9,Chippewa,2181500,Fisher River,WC,LC21,LC,LC,07050005,50,4,COOL-WARM MAINSTEM,Cool,"600028629, 200151579",45.1919833,-91.1271087
153750,NA,26,Iron,2399800,East Fork Chippewa River,NO,UC21,UC,UC,07050001,50,2,COOL-WARM HEADWATER,Cool-Warm,200194062,46.19672,-90.35817
153607,NA,37,Marathon,1429500,Unnamed,WC,CW17,CW,CW,07070002,51,1,COOL-COLD HEADWATER,Cool-Cold,200126945,44.801212,-90.060585
10396514,NA,53,Richland,1221300,Little Willow Creek,SC,LW12,LW,LW,07070005,52,2,COOL-COLD MAINSTEM,Cool-Cold,200037554,43.376305,-90.30678
153757,245052142,4,Bayfield,2911900,Marengo River,NO,LS12,LS,LS,04010302,50,"4, 4",COLDWATER,Cold,200198631,46.36044,-90.99216
153527,407022812,25,Iowa,1237100,Otter Creek,SC,LW11,LW,LW,07070005,52,"5, 5",COOL-COLD MAINSTEM,Cool-Cold,200024899,43.06181,-90.25599
10171672,NA,22,Grant,964300,Rogers Br,SC,GP06,GP,GP,07060003,52,4,COOL-COLD MAINSTEM,Cool-Cold,200017467,42.88915,-90.71447
9992808,NA,53,Richland,1221300,Little Willow Creek,NA,LW12,NA,LW,07070005,52,3,COOL-COLD MAINSTEM,Cool-Cold,200036473,43.345383,-90.304726
102510,229041433,10,Clark,2145400,North Fork Eau Claire River,WC,LC17,LC,LC,07050006,51,3,COLDWATER,Cold,200138316,44.98929,-90.838394
2472,408061132,13,Dane,1248800,Halfway Prairie Creek,SC,LW17,LW,LW,07070005,52,3,COLDWATER,Cold,200029742,43.18258,-89.75892
1811,228050144,9,Chippewa,2146000,Wolf River,WC,LC17,LC,LC,07050006,51,NA,COOL-COLD MAINSTEM,Cool,600035208,44.9299819,-90.922862
153772,NA,43,Oconto,460500,Macauley Creek,NE,GB05,UG,GB,04030104,50,1,COOL-COLD HEADWATER,Cool-Cold,200154485,45.23898,-88.43708
17816116,NA,23,Green,901000,Dougherty Creek,SC,SP03,GP,SP,07090003,52,2,COOL-COLD HEADWATER,Cool-Cold,200012052,42.798695,-89.75209
17815212,NA,72,Wood,1371500,Puff Creek,WC,CW05,CW,CW,07070003,51,2,COOL-WARM HEADWATER,Cool-Warm,200111646,44.578476,-90.12092
153773,NA,26,Iron,3000520,Unnamed,NO,LS11,LS,LS,04010302,50,1,MACROINVERTEBRATE,Cold,200200306,46.443905,-90.42422
153775,NA,26,Iron,3000519,Unnamed,NO,LS11,LS,LS,04010302,50,2,COLDWATER,Cold,200200381,46.446774,-90.42352
11675577,NA,13,Dane,1249200,Vermont Creek,SC,LW17,LW,LW,07070005,52,3,COOL-COLD HEADWATER,Cool-Cold,200025985,43.089634,-89.73826
102520,227032333,10,Clark,2137000,South Fork Eau Claire River,WC,LC16,LC,LC,07050006,51,"4, 4",COOL-COLD MAINSTEM,Cool,"200126867, 600038731",44.8002,-90.7153
2536,407070342,13,Dane,1248600,Black Earth Creek,SC,LW17,LW,LW,07070005,52,3,COLDWATER,Cold,"200026821, 600075911",43.110935,-89.64567
102381,227051112,18,Eau Claire,2146000,Wolf River,WC,LC17,LC,LC,07050006,51,4,COOL-COLD MAINSTEM,Cool-Cold,200129491,44.842506,-90.95002
4175,205031233,22,Grant,964300,Rogers Br,SC,GP06,GP,GP,07060003,52,3,COOL-COLD HEADWATER,Cool-Cold,200019345,42.9177447,-90.6823171
103659,NA,68,Waukesha,3000068,North Branch Genesee Creek,SE,FX04,IF,FX,07120006,53,1,COLDWATER,Cold,200021565,42.973984,-88.367004
153760,NA,34,Langlade,493700,Dalton Creek,NO,GB06,HW,GB,04030104,50,2,COOL-COLD MAINSTEM,Cool-Cold,200151757,45.190453,-88.692375
17817670,NA,68,Waukesha,769800,Genesee Creek,SE,FX04,IF,FX,07120006,53,3,COOL-COLD HEADWATER,Cool-Cold,200020870,42.95847,-88.35945
151756,408061521,13,Dane,1248900,Wendt Creek,SC,LW17,LW,LW,07070005,52,"3, 3",COLDWATER,Cold,200029516,43.17564,-89.77033
102287,226041721,10,Clark,2137000,South Fork Eau Claire River,WC,LC16,LC,LC,07050006,51,5,WARM MAINSTEM,Warm,"600040465, 200122747, 200122634, 200122629",44.738174,-90.89498
